acquirer_ID,acquired_ID,date,price,currency
5906,31643,2009-06-01,,USD
5906,55924,2013-11-21,,USD
5936,18,2012-09-22,,USD
5974,57545,2014-04-07,,USD
5981,39807,2010-10-01,,USD
6070,50623,2012-03-01,,USD
6108,49825,2012-09-03,,USD
6108,49868,2011-03-30,48000000.0,USD
6108,2436,2014-05-08,44500000.0,USD
6108,56579,2013-08-21,,USD
6108,38483,2013-08-20,,USD
6108,56649,2010-10-26,,USD
6108,56951,2013-08-21,,USD
6138,51096,2012-04-02,,USD
6138,48781,2014-06-16,,USD
6139,10354,2013-05-09,,USD
6139,51828,2013-11-27,,USD
6139,52536,2013-05-23,,USD
6139,20336,2009-08-01,,USD
6139,54386,2014-10-09,,USD
6139,40878,2014-06-16,,USD
6219,45696,2012-08-16,26200000.0,USD
6233,50430,2010-02-01,,USD
6233,55750,2012-10-25,,USD
6235,4673,2013-04-10,,USD
6236,30680,2013-10-16,35000000.0,USD
6247,55413,2008-09-30,,EUR
6278,52106,2011-06-02,,USD
6294,52446,2010-02-11,2000000.0,USD
6294,53042,2009-04-06,,USD
6339,55551,2011-07-28,,USD
6339,56712,2011-04-01,,USD
6342,29416,2014-10-29,,USD
6376,7565,2014-06-11,,USD
6376,46676,2014-06-11,,USD
6397,57742,2014-01-06,49000000.0,USD
6397,48970,2012-07-26,30000000.0,USD
6404,49631,2014-08-30,,USD
6404,57317,2010-11-01,,USD
6424,52238,2011-04-05,,USD
6424,54006,2012-08-27,,USD
6424,54558,2012-09-24,,USD
6448,1128,2010-08-10,415000000.0,USD
6448,49963,2011-07-21,325000000.0,USD
6448,14672,2014-10-29,475000000.0,USD
6448,52682,2014-11-04,,USD
6448,21454,2014-04-29,725000000.0,USD
6448,23162,2008-05-28,338460000.0,USD
6448,54334,2009-07-22,2400000000.0,USD
6461,52546,2009-03-31,,USD
6461,55013,2009-04-01,,USD
6479,7442,2010-10-15,1950000.0,USD
6479,53085,2011-10-11,,USD
6479,20032,2011-09-07,,USD
6479,54194,2008-08-27,,USD
6479,31171,2009-10-26,,USD
6479,41480,2008-12-29,,USD
6480,28454,2009-08-05,,USD
6482,52575,2008-07-22,3000000000.0,USD
6482,46793,2012-11-01,,USD
6532,53545,2012-01-15,,USD
6568,56492,2012-05-17,,USD
6592,4071,2011-09-01,,USD
6616,56435,2012-11-28,,USD
6624,50742,2011-05-24,,USD
6624,55598,2011-02-28,,USD
6624,55599,2010-04-01,,USD
6655,17019,2009-10-08,,USD
6655,55303,2010-04-07,1575000.0,USD
6658,57279,2012-03-01,,USD
6659,40473,2010-09-13,,USD
6666,50397,2008-04-01,,USD
6666,50604,2006-05-01,,USD
6666,11790,2011-02-22,,USD
6666,51942,2007-07-01,,USD
6666,52358,2008-03-12,,USD
6666,54129,2009-03-01,,USD
6666,28482,2011-02-15,,USD
6666,56317,2010-09-01,,USD
6666,38073,2012-09-14,,USD
6734,51665,2011-05-03,,USD
6734,52028,2011-05-15,10000000.0,USD
6734,52943,2011-05-25,,USD
6734,54105,2011-03-14,,USD
6734,56356,2011-08-01,,USD
6734,43730,2011-09-09,,USD
6746,22834,2012-09-11,,USD
6746,40472,2011-09-01,,USD
6746,43614,2014-10-28,,USD
6746,48596,2012-09-11,,USD
6779,37382,2013-11-26,,USD
6808,52040,2012-05-01,,USD
6821,57434,2009-01-06,,USD
6863,50849,2010-09-02,10100000.0,USD
